date,name,value,model,product
2019-01-01,Moran_I_statistic,-0.0037259445914946824,GBM,TROPOMI
2019-01-01,Expectation,-0.010416666666666666,GBM,TROPOMI
2019-01-01,Variance,3.749908764494062e-5,GBM,TROPOMI
2019-01-01,p,0.13728393390644958,GBM,TROPOMI
2019-01-02,Moran_I_statistic,-0.01796906641743099,GBM,TROPOMI
2019-01-02,Expectation,-0.010416666666666666,GBM,TROPOMI
2019-01-02,Variance,3.886556286224725e-5,GBM,TROPOMI
2019-01-02,p,0.8871369008931541,GBM,TROPOMI
2019-01-03,Moran_I_statistic,-0.024733254632951254,GBM,TROPOMI
2019-01-03,Expectation,-0.010752688172043012,GBM,TROPOMI
2019-01-03,Variance,4.1563067144295584e-5,GBM,TROPOMI
2019-01-03,p,0.9849418586803054,GBM,TROPOMI
2019-01-04,Moran_I_statistic,-0.02548451690906957,GBM,TROPOMI
2019-01-04,Expectation,-0.010638297872340425,GBM,TROPOMI
2019-01-04,Variance,3.937772445741864e-5,GBM,TROPOMI
2019-01-04,p,0.991006077783491,GBM,TROPOMI
2019-01-05,Moran_I_statistic,-0.01858531308765851,GBM,TROPOMI
2019-01-05,Expectation,-0.010526315789473684,GBM,TROPOMI
2019-01-05,Variance,4.00561030119762e-5,GBM,TROPOMI
2019-01-05,p,0.8985524766244347,GBM,TROPOMI
2019-01-06,Moran_I_statistic,-0.009505787308638311,GBM,TROPOMI
2019-01-06,Expectation,-0.010638297872340425,GBM,TROPOMI
2019-01-06,Variance,4.0649930498888766e-5,GBM,TROPOMI
2019-01-06,p,0.42950741699527323,GBM,TROPOMI
2019-01-07,Moran_I_statistic,-0.06009787083014119,GBM,TROPOMI
2019-01-07,Expectation,-0.010869565217391304,GBM,TROPOMI
2019-01-07,Variance,4.117790711091366e-5,GBM,TROPOMI
2019-01-07,p,0.9999999999999915,GBM,TROPOMI
2019-01-08,Moran_I_statistic,-0.022743044940114115,GBM,TROPOMI
2019-01-08,Expectation,-0.010869565217391304,GBM,TROPOMI
2019-01-08,Variance,4.131823441083361e-5,GBM,TROPOMI
2019-01-08,p,0.9676388304970955,GBM,TROPOMI
2019-01-09,Moran_I_statistic,-0.04241075664418525,GBM,TROPOMI
2019-01-09,Expectation,-0.010752688172043012,GBM,TROPOMI
2019-01-09,Variance,4.1518577027397114e-5,GBM,TROPOMI
