month,name,value,model,product
1,Moran_I_statistic,-0.03166561568992129,NN,OMI
1,Expectation,-0.010526315789473684,NN,OMI
1,Variance,3.807822929778754e-5,NN,OMI
1,p,0.9996934171787752,NN,OMI
2,Moran_I_statistic,-0.023807177896517945,NN,OMI
2,Expectation,-0.010526315789473684,NN,OMI
2,Variance,3.9301559916972794e-5,NN,OMI
2,p,0.982932163509939,NN,OMI
3,Moran_I_statistic,-0.028373793389114367,NN,OMI
3,Expectation,-0.010526315789473684,NN,OMI
3,Variance,3.9108183851344636e-5,NN,OMI
3,p,0.9978408845634668,NN,OMI
4,Moran_I_statistic,-0.014914876115470401,NN,OMI
4,Expectation,-0.010526315789473684,NN,OMI
4,Variance,3.90391295854225e-5,NN,OMI
4,p,0.7587788286344505,NN,OMI
5,Moran_I_statistic,-0.00679195801943447,NN,OMI
5,Expectation,-0.010638297872340425,NN,OMI
5,Variance,3.969512228417559e-5,NN,OMI
5,p,0.2707683869922217,NN,OMI
6,Moran_I_statistic,-0.008798244864652563,NN,OMI
6,Expectation,-0.010638297872340425,NN,OMI
6,Variance,3.963910800479397e-5,NN,OMI
6,p,0.3850441725174125,NN,OMI
7,Moran_I_statistic,-0.004389058716441109,NN,OMI
7,Expectation,-0.010638297872340425,NN,OMI
7,Variance,3.9211698444452245e-5,NN,OMI
7,p,0.15914593231285673,NN,OMI
8,Moran_I_statistic,-0.0028144079239913597,NN,OMI
8,Expectation,-0.010638297872340425,NN,OMI
8,Variance,3.8902434831058694e-5,NN,OMI
8,p,0.10484922044643402,NN,OMI
9,Moran_I_statistic,-0.004806021732584186,NN,OMI
9,Expectation,-0.010638297872340425,NN,OMI
9,Variance,3.963310625043932e-5,NN,OMI
9,p,0.17711326755140652,NN,OMI
10,Moran_I_statistic,-0.04408178326762817,NN,OMI
10,Expectation,-0.010526315789473684,NN,OMI
10,Variance,3.897692688803533e-5,NN,OMI
10,p,0.9999999616587282,NN,OMI
11,Moran_I_statistic,-0.033590164942069005,NN,OMI
11,Expectation,-0.010526315789473684,NN,OMI
11,Variance,3.934327632276886e-5,NN,OMI
11,p,0.9998820148226182,NN,OMI
12,Moran_I_statistic,-0.036873142716849244,NN,OMI
12,Expectation,-0.010526315789473684,NN,OMI
12,Variance,3.874957542331817e-5,NN,OMI
12,p,0.9999884435412372,NN,OMI
